component,target_amplitude,quantile,unit_quantile,calibrated_quantile,amplitude_scale,unit_median,calibrated_median,unit_max_observed,calibrated_max_observed
vp,0.05,0.95,0.12109253162601655,0.05,0.4129073802372927,0.09302014796565547,0.03840870560578413,0.12907996609908273,0.0532980706430908
vs_IC,0.05,0.95,2.9383776443194214,0.05,0.01701619262475054,2.5529391158564856,0.043441303754674296,3.058345240932042,0.05204139173268872
vs_M,0.05,0.95,0.03454995182521438,0.05000000000000001,1.44718002076953,0.024290665812857087,0.03515296625555624,0.037150969612719555,0.05376414097574366
rho,0.05,0.95,0.10966247353227691,0.05,0.4559444848312994,0.0806804933551381,0.03678582597874352,0.11127861408990397,0.05073687037396224
