component,s,target_amplitude,quantile,beta,unit_quantile,amplitude_scale,tau
vp,0,0.05,0.95,1.0,0.12109253162601655,0.4129073802372927,0.4129073802372927
vp,2,0.05,0.95,1.0,0.12109253162601655,0.4129073802372927,0.13763579341243087
vs_IC,0,0.05,0.95,1.0,2.9383776443194214,0.01701619262475054,0.01701619262475054
vs_IC,2,0.05,0.95,1.0,2.9383776443194214,0.01701619262475054,0.005672064208250179
vs_M,0,0.05,0.95,1.0,0.03454995182521438,1.44718002076953,1.44718002076953
vs_M,2,0.05,0.95,1.0,0.03454995182521438,1.44718002076953,0.48239334025651
rho,0,0.05,0.95,1.0,0.10966247353227691,0.4559444848312994,0.4559444848312994
rho,2,0.05,0.95,1.0,0.10966247353227691,0.4559444848312994,0.15198149494376645
