stream,truncation,mean_chi_mean,mean_chi_std,rel_mean_to_200_mean,rel_mean_to_200_std,rel_cov_to_200_mean,rel_cov_to_200_std
flat,50,1.4524177492480923,1.0164369613362318,0.0013389469357179083,0.0012833633785873965,0.002726784329335129,0.002699565205063279
flat,100,1.4022680312555433,0.9435014457598669,3.221530161485559e-05,3.815103388435218e-05,7.346184461590556e-05,7.181179093375376e-05
flat,200,1.3926729393558774,0.9296853431938777,0.0,0.0,0.0,0.0
weighted,50,2.4633875278465887,1.845662306608183,6.380392871217728e-05,6.85560419911727e-05,5.34839472209155e-05,5.912127119099762e-05
weighted,100,2.066340416367515,1.2973188422699917,3.681876481142391e-06,3.5869396310070255e-06,5.334076483419777e-06,5.92575073344523e-06
weighted,200,2.06981175094936,1.3033467802565804,0.0,0.0,0.0,0.0
