component,target_amplitude,quantile,unit_quantile,calibrated_quantile,amplitude_scale,unit_median,calibrated_median,unit_max_observed,calibrated_max_observed
vp,0.05,0.95,0.12946004740093767,0.05,0.38621954034320755,0.09593127118292724,0.03705053146080975,0.13060029130650244,0.050440384477086375
vs_IC,0.05,0.95,3.733642714328031,0.049999999999999996,0.013391747369967306,2.595062547946596,0.03475242205136449,4.461449686173711,0.05974660710105825
vs_M,0.05,0.95,0.04349031762538212,0.05,1.149681187217144,0.02841274041088499,0.032665593127678784,0.045178094018964575,0.051940404767930944
rho,0.05,0.95,0.11226386346315406,0.049999999999999996,0.4453792917648021,0.07352830929899526,0.03274798632024982,0.1155966684086294,0.05148436230620603
