component,s,target_amplitude,quantile,beta,unit_quantile,amplitude_scale,tau
vp,0,0.05,0.95,1.0,0.12946004740093767,0.38621954034320755,0.38621954034320755
vp,2,0.05,0.95,1.0,0.12946004740093767,0.38621954034320755,0.12873984678106917
vs_IC,0,0.05,0.95,1.0,3.733642714328031,0.013391747369967306,0.013391747369967306
vs_IC,2,0.05,0.95,1.0,3.733642714328031,0.013391747369967306,0.004463915789989102
vs_M,0,0.05,0.95,1.0,0.04349031762538212,1.149681187217144,1.149681187217144
vs_M,2,0.05,0.95,1.0,0.04349031762538212,1.149681187217144,0.38322706240571464
rho,0,0.05,0.95,1.0,0.11226386346315406,0.4453792917648021,0.4453792917648021
rho,2,0.05,0.95,1.0,0.11226386346315406,0.4453792917648021,0.1484597639216007
