component,target_amplitude,quantile,unit_quantile,calibrated_quantile,amplitude_scale,unit_median,calibrated_median,unit_max_observed,calibrated_max_observed
vp,0.05,0.95,0.25744399495297987,0.05000000000000001,0.19421699857140623,0.17249660249406443,0.03350177240016214,0.2985320336043598,0.057979995544056945
vs_IC,0.05,0.95,6.271580083347162,0.05,0.007972472540494905,4.359477014798943,0.034755810791403274,6.516300375124811,0.05195102580629921
vs_M,0.05,0.95,0.06070261490030152,0.05,0.823687745282809,0.03965940124626234,0.03266696279180005,0.07290756627228943,0.06005306887687906
rho,0.05,0.95,0.24852021541340177,0.05000000000000001,0.20119087663282176,0.1674530999584572,0.03369003597552553,0.3008716709022432,0.06053263522280416
