N_d,n_cases,width_ratio_mean,width_ratio_std,width_ratio_median,excess_width_mean,excess_width_std,dli_width_mean,bg_width_mean,hausdorff_gap_mean,hausdorff_gap_max,containment_violation_max
5,9,1.0198622734299996,0.007501548525625336,1.019268478734171,0.04760110174132009,0.01782790518367337,2.3996146872475483,2.447215788988869,0.025372113554851878,0.03922633373857076,0.0
10,9,1.0376534667175958,0.006604325921912881,1.0360401450610275,0.08695751591392822,0.013281525333328917,2.3171581446128826,2.404115660526811,0.047520345836661905,0.06118423471268897,0.0
20,9,1.1709479262268032,0.06359860651785056,1.1366273195586933,0.35051987602902396,0.10299023328750229,2.0972621291946747,2.4477820052236985,0.208750023556442,0.33254820376647354,0.0
40,9,1.3788414390495138,0.09385183675178987,1.4002682671701283,0.461798266878023,0.048184786681693445,1.3221025165102898,1.7839007833883127,0.2780586192424796,0.3077020666285566,0.0
100,9,1.6031495796847586,0.13302142039688514,1.6285387054069451,0.45070241701255476,0.25866080456805784,0.7037982114910974,1.1545006285036523,0.26130887443355166,0.5169233522545247,0.0
200,9,1.7486195191544325,0.14007028945978087,1.709883139664994,0.2729895869697874,0.097628211296121,0.35703833617570097,0.6300279231454884,0.1422634162005221,0.21787465095394942,0.0
400,9,2.208519838869724,0.176619896484863,2.128823227424855,0.26970341180816093,0.05147357428435714,0.22346291998010998,0.4931663317882708,0.14733291462911707,0.19435920409240093,0.0
1000,9,2.870213973383465,0.20411610405582362,2.9125244708107387,0.2697682979613117,0.014937211883815252,0.14523878440160465,0.41500708236291634,0.1436597169304696,0.15196167718973463,0.0
