N_d,forward_seed,data_seed,p_bar,dli_lower,dli_upper,dli_width,bg_lower,bg_upper,bg_width,width_ratio,excess_width,upper_slack,lower_slack,hausdorff_gap,containment_violation,dli_iters,dli_converged_pos,dli_converged_neg,dli_elapsed_s
5,2,42,1.120510611815862,-0.6997261782453247,1.7021323756787967,2.4018585539241215,-0.7265927622264222,1.7358737862880165,2.462466548514439,1.0252337900961308,0.06060799459031729,0.03374141060921976,0.026866583981097536,0.03374141060921976,0.0,21,1,1,0.4486921719999373
5,2,123,1.120510611815862,-0.6971211490365643,1.6961102705624274,2.3932314195989917,-0.7318644895217179,1.730602058992721,2.462466548514439,1.0289295587332077,0.06923512891544714,0.034491788430293546,0.034743340485153595,0.034743340485153595,0.0,28,1,1,0.569766601000083
5,2,456,1.120510611815862,-0.6943573120600001,1.699098318172972,2.393455630232972,-0.724141896602896,1.7383246519115427,2.462466548514439,1.0288331721757256,0.06901091828146688,0.03922633373857076,0.029784584542895898,0.03922633373857076,0.0,33,1,1,0.6396549390001383
5,7,42,1.120510611815862,-0.7016115816453432,1.7092848373674403,2.4108964190127837,-0.7160693371461123,1.7240274511056426,2.440096788251755,1.0121118306903156,0.02920036923897129,0.014742613738202293,0.01445775550076911,0.014742613738202293,0.0,23,1,1,0.21092739000050642
5,7,123,1.120510611815862,-0.7021372791068096,1.710212128911723,2.4123494080185326,-0.7158946401859216,1.7242021480658332,2.440096788251755,1.0115022227464194,0.02774738023322243,0.013990019154110245,0.013757361079112074,0.013990019154110245,0.0,24,1,1,0.21684200199979387
5,7,456,1.120510611815862,-0.701307680708059,1.7088332977771858,2.410140978485245,-0.7161530624034047,1.72394372584835,2.440096788251755,1.0124290695166458,0.029955809766510022,0.01511042807116425,0.01484538169534566,0.01511042807116425,0.0,24,1,1,0.22135958099988784
5,13,42,1.120510611815862,-0.7128469387794785,1.6801281027223522,2.3929750415018307,-0.7379188946766093,1.7011651355238016,2.439084030200411,1.019268478734171,0.046108988698580156,0.021037032801449307,0.02507195589713085,0.02507195589713085,0.0,22,1,1,0.31655306599986943
5,13,123,1.120510611815862,-0.7151097785398067,1.689841961710151,2.404951740249958,-0.7340361218752331,1.7050479083251777,2.439084030200411,1.0141925051464464,0.03413228995045303,0.015205946615026722,0.01892634333542642,0.01892634333542642,0.0,22,1,1,0.34098172199992405
5,13,456,1.120510611815862,-0.7060055700384295,1.6706674241650687,2.3766729942034983,-0.7388021470031182,1.7002818831972926,2.439084030200411,1.0262598330309334,0.062411035996912556,0.029614459032223817,0.03279657696468874,0.03279657696468874,0.0,30,1,1,0.40982202799932566
10,2,42,1.120510611815862,-0.6902728679261118,1.6966000738194977,2.3868729417456094,-0.7231979339984135,1.7380510618293663,2.4612489958277797,1.0311604580123885,0.0743760540821703,0.04145098800986857,0.03292506607230172,0.04145098800986857,0.0,35,1,1,1.00751856900024
10,2,123,1.120510611815862,-0.6906570996042087,1.6934068468547872,2.384063946458996,-0.7271673388344663,1.7340816569933135,2.4612489958277797,1.0323754106862046,0.07718504936878379,0.04067481013852636,0.036510239230257535,0.04067481013852636,0.0,26,1,1,0.7509712460005176
10,2,456,1.120510611815862,-0.687976710131988,1.6958087221806308,2.383785432312619,-0.7217113352231793,1.7395376606046005,2.4612489958277797,1.032496030248834,0.0774635635151606,0.04372893842396963,0.033734625091191295,0.04372893842396963,0.0,29,1,1,0.8349001840006167
10,7,42,1.120510611815862,-0.619019478151846,1.6952357125629571,2.3142551907148032,-0.6569425999018139,1.7407186835945865,2.3976612834964004,1.0360401450610275,0.08340609278159716,0.04548297103162935,0.037923121749967925,0.04548297103162935,0.0,33,1,1,0.717788844000097
10,7,123,1.120510611815862,-0.6250545845804557,1.6954863910187494,2.3205409755992052,-0.6613229792329769,1.7363383042634237,2.397661283496401,1.0332337626045502,0.0771203078971956,0.0408519132446743,0.036268394652521185,0.0408519132446743,0.0,48,1,1,1.0351775700000871
10,7,456,1.120510611815862,-0.6126528961623778,1.689559898117896,2.302212794280274,-0.6567882971901315,1.740872986306269,2.397661283496401,1.0414594556390546,0.09544848921612692,0.05131308818837299,0.04413540102775371,0.05131308818837299,0.0,33,1,1,0.7175983569995878
10,13,42,1.120510611815862,-0.5939314494241281,1.6596762372447205,2.2536076866688486,-0.6404026748355399,1.7130340274207128,2.3534367022562526,1.044297424160354,0.09982901558740398,0.05335779017599229,0.0464712254114118,0.05335779017599229,0.0,30,1,1,0.5757746529998258
10,13,123,1.120510611815862,-0.5940396617298578,1.6752524481535216,2.2692921098833794,-0.6285458754984964,1.7248908267577563,2.3534367022562526,1.0370796655073187,0.0841445923728732,0.0496383786042347,0.034506213768638605,0.0496383786042347,0.0,31,1,1,0.5951376680004614
10,13,456,1.120510611815862,-0.5882248879633113,1.651567335888899,2.23979222385221,-0.6406851316546648,1.712751570601588,2.3534367022562526,1.0507388485386318,0.11364447840404246,0.06118423471268897,0.05246024369135349,0.06118423471268897,0.0,38,1,1,0.7354163919999337
20,2,42,1.120510611815862,-0.6146066774798898,1.5958608236227352,2.210467501102625,-0.7371686496387253,1.725123521652429,2.4622921712911543,1.113923715260647,0.25182467018852916,0.1292626980296938,0.12256197215883546,0.1292626980296938,0.0,50,1,1,2.5681256769994434
20,2,123,1.120510611815862,-0.5989427846174239,1.5736557621918685,2.1725985468092923,-0.7398210072203518,1.7224711640708024,2.4622921712911543,1.1333396935698543,0.289693624481862,0.14881540187893383,0.14087822260292793,0.14881540187893383,0.0,53,1,1,2.692372334000538
20,2,456,1.120510611815862,-0.6030074834985748,1.5929766279312902,2.195984111429865,-0.7284769699456347,1.7338152013455195,2.4622921712911543,1.121270485735841,0.26630805986128925,0.14083857341422923,0.1254694864470599,0.14083857341422923,0.0,63,1,1,3.228371170000173
20,7,42,1.120510611815862,-0.3217885709419412,1.5847837355991279,1.9065723065410691,-0.48312475971112373,1.9099158123137217,2.3930405720248453,1.255153326110319,0.4864682654837762,0.32513207671459377,0.16133618876918254,0.32513207671459377,0.0,69,1,1,3.4976153979996525
20,7,123,1.120510611815862,-0.3554134858107665,1.5944272291373833,1.9498407149481498,-0.5006789084169674,1.892361663607878,2.3930405720248453,1.227300544951684,0.4431998570766955,0.2979344344704946,0.1452654226062009,0.2979344344704946,0.0,74,1,1,3.7628158679999615
20,7,456,1.120510611815862,-0.31227102217211233,1.5622972421175865,1.8745682642896988,-0.4981951261407853,1.89484544588406,2.3930405720248453,1.2765822496902257,0.5184723077351465,0.33254820376647354,0.18592410396867298,0.33254820376647354,0.0,84,1,1,4.309979543999361
20,13,42,1.120510611815862,-0.5709590294545893,1.6179847250568635,2.188943754511453,-0.7174726254136325,1.7705406469414628,2.4880132723550954,1.1366273195586933,0.29906951784364244,0.15255592188459932,0.14651359595904323,0.15255592188459932,0.0,35,1,1,1.5278316809999524
20,13,123,1.120510611815862,-0.561166599665194,1.6520883372301953,2.2132549368953893,-0.6537240836938165,1.8342891886612789,2.4880132723550954,1.1241421992918355,0.27475833545970607,0.18220085143108355,0.09255748402862252,0.18220085143108355,0.0,31,1,1,1.357430346000001
20,13,456,1.120510611815862,-0.5607433238940139,1.6023857023305133,2.163129026224527,-0.7161655196067058,1.7718477527483896,2.4880132723550954,1.1501918018721302,0.3248842461305683,0.16946205041787632,0.1554221957126919,0.16946205041787632,0.0,30,1,1,1.3013666380002178
40,2,42,1.120510611815862,0.4276604761318894,1.4867986755955669,1.0591381994636775,0.27961408635654356,1.7531261035486374,1.473512017192094,1.391236779051351,0.4143738177284164,0.2663274279530705,0.14804638977534584,0.2663274279530705,0.0,95,1,1,9.31688542000029
40,2,123,1.120510611815862,0.468563915481074,1.4800456425220987,1.0114817270410246,0.30886921590257205,1.782381233094666,1.473512017192094,1.4567856025463621,0.46203029015106933,0.3023355905725673,0.15969469957850196,0.3023355905725673,0.0,91,1,1,8.95339043399963
40,2,456,1.120510611815862,0.46267970374117273,1.489110330721042,1.0264306269798693,0.293963619621366,1.76747563681346,1.4735120171920941,1.4355690277166613,0.4470813902122248,0.27836530609241805,0.1687160841198067,0.27836530609241805,0.0,91,1,1,8.934461234000082
40,7,42,1.120510611815862,0.4549276467225691,1.4429882657781936,0.9880606190556245,0.30500270845235766,1.6885526393564212,1.3835499309040635,1.4002682671701283,0.39548931184843905,0.24556437357822758,0.14992493827021142,0.24556437357822758,0.0,87,1,1,8.617509262000567
40,7,123,1.120510611815862,0.5176124357725018,1.4852813867334087,0.9676689509609069,0.3613417484366439,1.7448916793407072,1.3835499309040633,1.4297760918444078,0.4158809799431564,0.2596102926072985,0.15627068733585792,0.2596102926072985,0.0,83,1,1,8.343190362999849
40,7,456,1.120510611815862,0.5077465354830477,1.4242916650108801,0.9165451295278324,0.3209719184756541,1.7045218493797174,1.3835499309040633,1.5095273394958884,0.4670048013762309,0.2802301843688373,0.18677461700739362,0.2802301843688373,0.0,99,1,1,9.840820708000138
40,13,42,1.120510611815862,-0.4127146806255255,1.5670848030007043,1.9797994836262298,-0.6438037166236785,1.8508366854451024,2.494640402068781,1.2600470010728364,0.5148409184425511,0.2837518824443981,0.231089035998153,0.2837518824443981,0.0,50,1,1,4.051467522000166
40,13,123,1.120510611815862,-0.4114389722456835,1.5683457277798794,1.9797847000255628,-0.6476542253519593,1.8469861767168216,2.494640402068781,1.26005641019277,0.5148557020432181,0.2786404489369423,0.23621525310627578,0.2786404489369423,0.0,55,1,1,4.468140863000372
