case,s,length_scale,overall_variance,mean_offset,rmse,mae,coverage_2sigma,mean_post_std,mean_prior_std,unc_reduction,data_misfit,min_eig_cov,chi2_per_dof,elapsed_s
Reference,6.0,30,31.622777,0.0,0.01425,0.008499,0.6,0.006923,0.038288,0.8192,313.541953,0.0,2.767,106.82
R+,12.0,30,63.245553,0.0,0.032774,0.021895,0.0,0.003367,0.034516,0.902455,562.68314,-0.0,6.4212,49.1
R-,3.0,10,0.632456,0.0,0.016185,0.008771,1.0,0.008439,0.027618,0.694442,205.050497,4.2e-07,0.8754,131.87
V+,6.0,30,252.982213,0.0,0.009664,0.005813,0.9,0.011854,0.069924,0.830471,250.253529,1e-08,1.613,120.48
V-,6.0,30,1.581139,0.0,0.028039,0.018659,0.15,0.003328,0.015982,0.791778,481.560209,0.0,5.3639,86.87
M+,6.0,30,31.622777,0.1,0.015482,0.010086,0.6,0.006923,0.038288,0.8192,635.089776,0.0,13.1539,109.52
M-,6.0,30,31.622777,-0.1,0.023499,0.013768,0.5,0.006923,0.038288,0.8192,251.695909,0.0,1.7341,109.38
